id,web_name,team,element_type,now_cost,total_points,form,ict_index,influence,creativity,threat,minutes,expected_goals,expected_assists,expected_goal_involvements,saves,clean_sheets,next_3_gw_fixtures
680,Kinsey,3,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
687,Winterburn,3,3,4.5,3,0.3,0.4,2.4,0.2,2.0,21,0.00,0.00,0.00,0,0,3.3333333333333335
702,Harris,3,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
707,Rees-Dottin,3,4,4.5,1,0.0,0.0,0.0,0.0,0.0,1,0.00,0.00,0.00,0,0,3.3333333333333335
712,Akinmboni,3,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
713,Soler,3,2,3.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
722,Adu-Adjei,3,4,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
723,Sadi,3,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
727,McKenna,3,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
728,Silcott-Duberry,3,3,4.5,1,0.0,0.3,2.0,1.0,0.0,1,0.00,0.00,0.00,0,0,3.3333333333333335
738,Iraola,3,5,1.1,35,2.3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
86,Ajer,4,2,4.4,35,3.0,41.6,174.6,114.2,127.0,1295,0.72,0.45,1.17,0,3,3.3333333333333335
87,Brierley,4,3,4.4,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
88,Collins,4,2,4.5,98,3.3,122.1,842.8,121.6,256.0,2790,2.28,1.23,3.51,0,6,3.3333333333333335
89,Damsgaard,4,3,5.0,112,2.0,181.5,647.0,863.6,305.0,2330,2.65,5.69,8.34,0,9,3.3333333333333335
90,Dasilva,4,3,4.8,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
91,Flekken,4,1,4.4,107,4.7,110.5,1088.0,20.3,0.0,2645,0.00,0.10,0.10,130,5,3.3333333333333335
92,Henry,4,2,4.3,1,0.0,0.1,1.0,0.3,0.0,3,0.00,0.00,0.00,0,0,3.3333333333333335
93,Hickey,4,2,4.3,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
94,Janelt,4,3,4.8,70,0.7,73.5,340.8,267.1,127.0,2180,0.83,2.31,3.14,0,6,3.3333333333333335
95,Jensen,4,3,5.3,29,0.3,36.1,115.8,210.1,32.0,735,0.23,1.20,1.43,0,2,3.3333333333333335
96,Ji-soo,4,2,3.9,3,0.0,0.6,5.0,0.8,0.0,28,0.00,0.00,0.00,0,0,3.3333333333333335
97,Konak,4,3,4.4,7,0.3,1.2,7.8,3.7,3.0,27,0.15,0.00,0.15,0,0,3.3333333333333335
98,Lewis-Potter,4,3,5.0,79,2.0,122.5,467.2,376.7,379.0,2547,2.45,4.48,6.93,0,7,3.3333333333333335
99,Mbeumo,4,3,8.0,190,5.7,267.6,961.4,869.6,842.0,2785,10.23,7.62,17.84,0,7,3.3333333333333335
100,Mee,4,2,4.2,9,0.3,4.6,36.8,3.0,6.0,180,0.00,0.02,0.02,0,1,3.3333333333333335
101,Nørgaard,4,3,4.8,78,5.0,113.1,572.0,272.1,286.0,2190,3.10,0.85,3.95,0,4,3.3333333333333335
102,Onyeka,4,3,4.9,2,0.0,0.0,0.0,0.5,0.0,23,0.00,0.02,0.02,0,0,3.3333333333333335
103,Peart-Harris,4,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
104,Pinnock,4,2,4.4,47,1.0,83.6,540.2,101.2,193.0,1912,1.08,0.64,1.72,0,2,3.3333333333333335
105,Roerslev,4,2,4.3,36,0.0,48.0,214.4,185.8,78.0,1100,0.20,2.09,2.29,0,2,3.3333333333333335
106,Schade,4,3,5.1,109,2.3,130.4,442.0,246.6,619.0,1742,5.87,1.44,7.31,0,8,3.3333333333333335
107,Thiago,4,4,5.9,5,0.0,4.2,10.8,27.9,6.0,129,0.10,0.02,0.12,0,0,3.3333333333333335
108,Toney,4,4,7.3,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
109,Valdimarsson,4,1,3.9,2,0.0,2.1,21.4,0.1,0.0,144,0.00,0.00,0.00,3,0,3.3333333333333335
110,Wissa,4,4,6.6,139,5.0,181.7,611.0,328.3,885.0,2291,14.10,1.86,15.95,0,7,3.3333333333333335
111,Yarmoliuk,4,3,4.3,31,2.0,39.5,175.4,136.8,83.0,928,0.62,0.42,1.04,0,1,3.3333333333333335
112,Zanka,4,2,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
314,Carvalho,4,3,4.5,35,0.0,36.3,142.2,71.5,154.0,443,2.49,0.54,3.03,0,0,3.3333333333333335
338,Van den Berg,4,2,4.1,44,2.3,70.2,456.0,84.1,161.0,1954,1.29,0.50,1.79,0,3,3.3333333333333335
602,Trevitt,4,3,4.4,1,0.0,0.3,2.6,0.1,0.0,3,0.00,0.00,0.00,0,0,3.3333333333333335
634,G.Nunes,4,3,4.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
649,Meghoma,4,2,4.0,1,0.0,0.1,0.2,0.3,0.0,4,0.00,0.00,0.00,0,0,3.3333333333333335
661,Yogane,4,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
674,Maghoma,4,3,4.5,8,0.3,5.4,27.8,15.8,10.0,112,0.12,0.04,0.16,0,0,3.3333333333333335
705,Arthur,4,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
752,Frank,4,5,0.8,52,6.3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
757,Kayode,4,2,4.5,5,0.3,4.4,12.6,24.9,6.0,37,0.00,0.07,0.07,0,0,3.3333333333333335
759,Eyestone,4,1,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
780,Morgan,4,4,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
786,Benjamin Fredrick,4,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
113,Adingra,5,3,5.1,42,1.3,50.3,151.2,155.2,197.0,730,1.56,1.83,3.39,0,1,3.3333333333333335
114,Baker-Boaitey,5,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
115,Baleba,5,3,5.0,64,1.3,82.1,364.8,281.5,174.0,2056,2.99,1.06,4.05,0,7,3.3333333333333335
116,Barco,5,2,4.0,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
118,Cozier-Duberry,5,3,4.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
119,Dahoud,5,3,4.9,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
120,Dunk,5,2,4.2,41,1.0,54.0,353.6,104.8,81.0,1721,0.69,0.67,1.36,0,4,3.3333333333333335
122,Estupiñan,5,2,4.9,53,3.0,96.4,384.2,464.8,114.0,1859,0.65,1.88,2.53,0,2,3.3333333333333335
124,Gilmour,5,3,5.0,3,0.0,2.5,11.4,11.9,2.0,97,0.08,0.04,0.12,0,0,3.3333333333333335
125,Gross,5,3,6.5,0,0.0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0,3.3333333333333335
126,Hinshelwood,5,3,4.9,53,2.7,53.3,224.6,171.6,133.0,1413,1.37,1.34,2.71,0,5,3.3333333333333335
